title,url,result,pdf_url
Node-Wise Hardware Trojan Detection Based on Graph Learning,https://ieeexplore.ieee.org/ielx7/12/4358213/10135152.pdf,fetch_failed:HTTPError,
Node-Wise Hardware Trojan Detection Based on Graph Learning,https://ieeexplore.ieee.org/ielx7/12/4358213/10135152.pdf,fetch_failed:HTTPError,
HPKA: A High-Performance CRYSTALS-Kyber Accelerator Exploring Efficient Pipelining,,doi_or_empty,
HPKA: A High-Performance CRYSTALS-Kyber Accelerator Exploring Efficient Pipelining,https://pure.qub.ac.uk/en/publications/bda3f0d8-308f-457a-aa96-8f6228a205ee,no_pdf_found,
Efficient Error Detection for Matrix Multiplication With Systolic Arrays on FPGAs,,doi_or_empty,
Efficient Error Detection for Matrix Multiplication With Systolic Arrays on FPGAs,https://iris.unitn.it/bitstream/11572/376659/2/TC_2021_ASU_UFRGS_POLITO__Rev1_.pdf,direct_pdf,https://iris.unitn.it/bitstream/11572/376659/2/TC_2021_ASU_UFRGS_POLITO__Rev1_.pdf
Hardware Design of an Advanced-Feature Cryptographic Tile Within the European Processor Initiative,https://ieeexplore.ieee.org/ielx7/12/4358213/10130378.pdf,fetch_failed:HTTPError,
Hardware Design of an Advanced-Feature Cryptographic Tile Within the European Processor Initiative,https://ieeexplore.ieee.org/ielx7/12/4358213/10130378.pdf,fetch_failed:HTTPError,
Ara2: Exploring Single- and Multi-Core Vector Processing With an Efficient RVV 1.0 Compliant Open-Source Processor,,doi_or_empty,
Ara2: Exploring Single- and Multi-Core Vector Processing With an Efficient RVV 1.0 Compliant Open-Source Processor,https://cris.unibo.it/bitstream/11585/1004690/3/2311.07493v2.pdf,direct_pdf,https://cris.unibo.it/bitstream/11585/1004690/3/2311.07493v2.pdf
DeepFire2: A Convolutional Spiking Neural Network Accelerator on FPGAs,,doi_or_empty,
DeepFire2: A Convolutional Spiking Neural Network Accelerator on FPGAs,https://arxiv.org/pdf/2305.05187,direct_pdf,https://arxiv.org/pdf/2305.05187
DIPER: Detection and Identification of Pathogens Using Edit Distance-Tolerant Resistive CAM,https://ieeexplore.ieee.org/ielx7/12/4358213/10260684.pdf,fetch_failed:HTTPError,
