title,year,cites,doi,oa_url,primary_pdf,topic
Node-Wise Hardware Trojan Detection Based on Graph Learning,2023,45,https://doi.org/10.1109/tc.2023.3280134,https://ieeexplore.ieee.org/ielx7/12/4358213/10135152.pdf,https://ieeexplore.ieee.org/ielx7/12/4358213/10135152.pdf,Physical Unclonable Functions (PUFs) and Hardware Security; Integrated Circuits and Semiconductor Failure Analysis; VLSI and Analog Circuit Testing
HPKA: A High-Performance CRYSTALS-Kyber Accelerator Exploring Efficient Pipelining,2023,36,https://doi.org/10.1109/tc.2023.3296899,https://pure.qub.ac.uk/en/publications/bda3f0d8-308f-457a-aa96-8f6228a205ee,,Cryptographic Implementations and Security; Physical Unclonable Functions (PUFs) and Hardware Security; Cryptography and Data Security
Efficient Error Detection for Matrix Multiplication With Systolic Arrays on FPGAs,2023,25,https://doi.org/10.1109/tc.2023.3248282,https://iris.unitn.it/bitstream/11572/376659/2/TC_2021_ASU_UFRGS_POLITO__Rev1_.pdf,,Radiation Effects in Electronics; Parallel Computing and Optimization Techniques; Low-power high-performance VLSI design
Hardware Design of an Advanced-Feature Cryptographic Tile Within the European Processor Initiative,2023,22,https://doi.org/10.1109/tc.2023.3278536,https://ieeexplore.ieee.org/ielx7/12/4358213/10130378.pdf,https://ieeexplore.ieee.org/ielx7/12/4358213/10130378.pdf,Cryptographic Implementations and Security; Physical Unclonable Functions (PUFs) and Hardware Security; Chaos-based Image/Signal Encryption
Ara2: Exploring Single- and Multi-Core Vector Processing With an Efficient RVV 1.0 Compliant Open-Source Processor,2024,20,https://doi.org/10.1109/tc.2024.3388896,https://cris.unibo.it/bitstream/11585/1004690/3/2311.07493v2.pdf,,Neural Networks and Applications
DeepFire2: A Convolutional Spiking Neural Network Accelerator on FPGAs,2023,19,https://doi.org/10.1109/tc.2023.3272284,https://arxiv.org/pdf/2305.05187,,Advanced Memory and Neural Computing; Ferroelectric and Negative Capacitance Devices; Neuroscience and Neural Engineering
DIPER: Detection and Identification of Pathogens Using Edit Distance-Tolerant Resistive CAM,2023,18,https://doi.org/10.1109/tc.2023.3315829,https://ieeexplore.ieee.org/ielx7/12/4358213/10260684.pdf,https://ieeexplore.ieee.org/ielx7/12/4358213/10260684.pdf,Advanced biosensing and bioanalysis techniques; Biosensors and Analytical Detection; Advanced Memory and Neural Computing
Co-Design of Approximate Multilayer Perceptron for Ultra-Resource Constrained Printed Circuits,2023,15,https://doi.org/10.1109/tc.2023.3251863,https://publikationen.bibliothek.kit.edu/1000157029/150462488,,Advanced Memory and Neural Computing; Ferroelectric and Negative Capacitance Devices; Low-power high-performance VLSI design
Big-PERCIVAL: Exploring the Native Use of 64-Bit Posit Arithmetic in Scientific Computing,2024,15,https://doi.org/10.1109/tc.2024.3377890,https://ieeexplore.ieee.org/ielx7/12/4358213/10473215.pdf,https://ieeexplore.ieee.org/ielx7/12/4358213/10473215.pdf,Numerical Methods and Algorithms; Parallel Computing and Optimization Techniques; Low-power high-performance VLSI design
Multi-Objective Hardware-Mapping Co-Optimisation for Multi-DNN Workloads on Chiplet-Based Accelerators,2024,14,https://doi.org/10.1109/tc.2024.3386067,https://upcommons.upc.edu/bitstreams/6e7eb28e-8ce3-4ca1-a14d-b72b79bb773d/download,,Embedded Systems Design Techniques; Parallel Computing and Optimization Techniques; Advanced Memory and Neural Computing
Spin-Variable Reduction Method for Handling Linear Equality Constraints in Ising Machines,2023,12,https://doi.org/10.1109/tc.2023.3239539,https://ieeexplore.ieee.org/ielx7/12/4358213/10025381.pdf,https://ieeexplore.ieee.org/ielx7/12/4358213/10025381.pdf,Quantum Computing Algorithms and Architecture; Machine Learning and Algorithms; Low-power high-performance VLSI design
Being Patient and Persistent: Optimizing An Early Stopping Strategy for Deep Learning in Profiled Attacks,2023,11,https://doi.org/10.1109/tc.2023.3234205,https://repository.ubn.ru.nl//bitstream/handle/2066/316401/316401.pdf,,Cryptographic Implementations and Security; Network Security and Intrusion Detection; Security and Verification in Computing
An Integrated FPGA Accelerator for Deep Learning-Based 2D/3D Path Planning,2024,11,https://doi.org/10.1109/tc.2024.3377895,https://ieeexplore.ieee.org/ielx7/12/4358213/10474486.pdf,https://ieeexplore.ieee.org/ielx7/12/4358213/10474486.pdf,Robotic Path Planning Algorithms; Robotics and Sensor-Based Localization; Robotic Locomotion and Control
A System-Level Test Methodology for Communication Peripherals in System-on-Chips,2024,8,https://doi.org/10.1109/tc.2024.3500375,https://doi.org/10.1109/tc.2024.3500375,,VLSI and Analog Circuit Testing; Embedded Systems Design Techniques; Interconnection Networks and Systems
<i>Xvpfloat</i>: RISC-V ISA Extension for Variable Extended Precision Floating Point Computation,2024,8,https://doi.org/10.1109/tc.2024.3383964,https://ieeexplore.ieee.org/ielx7/12/4358213/10488759.pdf,https://ieeexplore.ieee.org/ielx7/12/4358213/10488759.pdf,Numerical Methods and Algorithms; GNSS positioning and interference; Inertial Sensor and Navigation
Stream: Design Space Exploration of Layer-Fused DNNs on Heterogeneous Dataflow Accelerators,2024,6,https://doi.org/10.1109/tc.2024.3477938,https://lirias.kuleuven.be/handle/20.500.12942/753488,,Software-Defined Networks and 5G; Parallel Computing and Optimization Techniques; Radiation Effects in Electronics
FPGA-Accelerated Range-Limited Molecular Dynamics,2024,6,https://doi.org/10.1109/tc.2024.3375613,https://www.osti.gov/biblio/2425935,,Spectroscopy and Quantum Chemical Studies; Nanopore and Nanochannel Transport Studies; Advanced Electron Microscopy Techniques and Applications
Fast Inner-Product Algorithms and Architectures for Deep Neural Network Accelerators,2023,6,https://doi.org/10.1109/tc.2023.3334140,https://arxiv.org/pdf/2311.12224,,Advanced Memory and Neural Computing; Advanced Neural Network Applications; Ferroelectric and Negative Capacitance Devices
Secure Remote Attestation With Strong Key Insulation Guarantees,2023,6,https://doi.org/10.1109/tc.2023.3290870,https://research.vu.nl/en/publications/f8e9ba95-9ca0-4819-b884-a1cd527701c2,,Security and Verification in Computing; Cloud Data Security Solutions; Cryptography and Data Security
TOP: Towards Open &amp; Predictable Heterogeneous SoCs,2024,5,https://doi.org/10.1109/tc.2024.3441849,https://arxiv.org/pdf/2401.15639,,Real-Time Systems Scheduling; Embedded Systems Design Techniques; Parallel Computing and Optimization Techniques
Model-Based Generation of Hardware/Software Architectures With Hybrid Schedulers for Robotics Systems,2023,5,https://doi.org/10.1109/tc.2023.3323804,https://ieeexplore.ieee.org/ielx7/12/4358213/10284570.pdf,https://ieeexplore.ieee.org/ielx7/12/4358213/10284570.pdf,Embedded Systems Design Techniques; Real-Time Systems Scheduling; Parallel Computing and Optimization Techniques
