id,title,authors,year,venue,doi,source_url,source_type,digital_fpga_relevance,download_status,local_pdf,local_note,venue_folder
paper_01,Efficient Error Detection for Matrix Multiplication With Systolic Arrays on FPGAs,F. Libano; Paolo Rech; John Brunhaver,2023,TC,https://doi.org/10.1109/tc.2023.3248282,https://iris.unitn.it/bitstream/11572/376659/2/TC_2021_ASU_UFRGS_POLITO__Rev1_.pdf,direct_pdf,FPGA implementation,downloaded_pdf,pdfs/2023_TC_efficient_error_detection_for_matrix_multiplication_with_systolic_arrays_on_fpga.pdf,notes/2023_TC_efficient_error_detection_for_matrix_multiplication_with_systolic_arrays_on_fpga.md,04_TC
paper_02,Ara2: Exploring Single- and Multi-Core Vector Processing With an Efficient RVV 1.0 Compliant Open-Source Processor,Matteo Perotti; Matheus Cavalcante; Renzo Andri; Lukas Cavigelli; Luca Benini,2024,TC,https://doi.org/10.1109/tc.2024.3388896,https://cris.unibo.it/bitstream/11585/1004690/3/2311.07493v2.pdf,direct_pdf,digital IC / architecture,downloaded_pdf,pdfs/2024_TC_ara2_exploring_single_and_multi_core_vector_processing_with_an_efficient_rvv_1_0.pdf,notes/2024_TC_ara2_exploring_single_and_multi_core_vector_processing_with_an_efficient_rvv_1_0.md,04_TC
paper_03,DeepFire2: A Convolutional Spiking Neural Network Accelerator on FPGAs,Myat Thu Linn Aung; Daniel Gerlinghoff; Chuping Qu; Liwei Yang; Tian Huang; Rick Siow Mong Goh,2023,TC,https://doi.org/10.1109/tc.2023.3272284,https://arxiv.org/pdf/2305.05187,direct_pdf,"FPGA implementation, digital IC / architecture",downloaded_pdf,pdfs/2023_TC_deepfire2_a_convolutional_spiking_neural_network_accelerator_on_fpgas.pdf,notes/2023_TC_deepfire2_a_convolutional_spiking_neural_network_accelerator_on_fpgas.md,04_TC
paper_04,Co-Design of Approximate Multilayer Perceptron for Ultra-Resource Constrained Printed Circuits,Giorgos Armeniakos; Georgios Zervakis; Dimitrios Soudris; Mehdi B. Tahoori; Jörg Henkel,2023,TC,https://doi.org/10.1109/tc.2023.3251863,https://publikationen.bibliothek.kit.edu/1000157029/150462488,direct_pdf,Advanced Memory and Neural Computing; Ferroelectric and Negative Capacitance Devices; Low-power high-performance VLSI design,downloaded_pdf,pdfs/2023_TC_co_design_of_approximate_multilayer_perceptron_for_ultra_resource_constrained_pr.pdf,notes/2023_TC_co_design_of_approximate_multilayer_perceptron_for_ultra_resource_constrained_pr.md,04_TC
paper_05,Multi-Objective Hardware-Mapping Co-Optimisation for Multi-DNN Workloads on Chiplet-Based Accelerators,Abhijit Das; Enrico Russo; Maurizio Palesi,2024,TC,https://doi.org/10.1109/tc.2024.3386067,https://upcommons.upc.edu/server/api/core/bitstreams/6e7eb28e-8ce3-4ca1-a14d-b72b79bb773d/content,direct_pdf,"digital IC / architecture, EDA / design automation",downloaded_pdf,pdfs/2024_TC_multi_objective_hardware_mapping_co_optimisation_for_multi_dnn_workloads_on_chip.pdf,notes/2024_TC_multi_objective_hardware_mapping_co_optimisation_for_multi_dnn_workloads_on_chip.md,04_TC
paper_06,FPGA-Accelerated Range-Limited Molecular Dynamics,Chunshu Wu; Chen Yang; Sahan Bandara; Tong Geng; Anqi Guo; Pouya Haghi,2024,TC,https://doi.org/10.1109/tc.2024.3375613,https://www.osti.gov/servlets/purl/2425935,html_discovered_pdf,FPGA implementation,downloaded_pdf,pdfs/2024_TC_fpga_accelerated_range_limited_molecular_dynamics.pdf,notes/2024_TC_fpga_accelerated_range_limited_molecular_dynamics.md,04_TC
paper_07,Fast Inner-Product Algorithms and Architectures for Deep Neural Network Accelerators,Trevor E. Pogue; Nicola Nicolici,2023,TC,https://doi.org/10.1109/tc.2023.3334140,https://arxiv.org/pdf/2311.12224,direct_pdf,digital IC / architecture,downloaded_pdf,pdfs/2023_TC_fast_inner_product_algorithms_and_architectures_for_deep_neural_network_accelera.pdf,notes/2023_TC_fast_inner_product_algorithms_and_architectures_for_deep_neural_network_accelera.md,04_TC
paper_08,TOP: Towards Open & Predictable Heterogeneous SoCs,Luca Valente; Francesco Restuccia; Davide Rossi; Ryan Kastner; Luca Benini,2024,TC,https://doi.org/10.1109/tc.2024.3441849,https://arxiv.org/pdf/2401.15639,direct_pdf,digital IC / architecture,downloaded_pdf,pdfs/2024_TC_top_towards_open_and_predictable_heterogeneous_socs.pdf,notes/2024_TC_top_towards_open_and_predictable_heterogeneous_socs.md,04_TC
paper_09,An FPGA-Based Open-Source Hardware-Software Framework for Side-Channel Security Research,Davide Zoni; Andrea Galimberti; Davide Galli,2025,TC,https://doi.org/10.1109/tc.2025.3551936,https://arxiv.org/pdf/2407.17432,direct_pdf,"FPGA implementation, cryptographic hardware",downloaded_pdf,pdfs/2025_TC_an_fpga_based_open_source_hardware_software_framework_for_side_channel_security.pdf,notes/2025_TC_an_fpga_based_open_source_hardware_software_framework_for_side_channel_security.md,04_TC
paper_10,SCARF: Securing Chips With a Robust Framework Against Fabrication-Time Hardware Trojans,Mohammad Eslami; Tara Ghasempouri; Samuel Pagliarini,2024,TC,https://doi.org/10.1109/tc.2024.3449082,https://arxiv.org/pdf/2402.12162,direct_pdf,digital IC / architecture,downloaded_pdf,pdfs/2024_TC_scarf_securing_chips_with_a_robust_framework_against_fabrication_time_hardware_t.pdf,notes/2024_TC_scarf_securing_chips_with_a_robust_framework_against_fabrication_time_hardware_t.md,04_TC
