id,title,authors,year,venue,doi,source_url,source_type,digital_fpga_relevance,download_status,local_pdf,local_note,venue_folder
paper_01,A Triple-Memristor Hopfield Neural Network With Space Multistructure Attractors and Space Initial-Offset Behaviors,Hairong Lin; Chunhua Wang; Fei Yu; Qinghui Hong; Cong Xu; Yichuang Sun,2023,TCAD,https://doi.org/10.1109/tcad.2023.3287760,https://uhra.herts.ac.uk/id/eprint/10482/1/TCAD_FINAL_VERSION.pdf,direct_pdf,Advanced Memory and Neural Computing; Neural Networks and Applications; Neural dynamics and brain function,downloaded_pdf,pdfs/2023_TCAD_a_triple_memristor_hopfield_neural_network_with_space_multistructure_attractors.pdf,notes/2023_TCAD_a_triple_memristor_hopfield_neural_network_with_space_multistructure_attractors.md,05_TCAD
paper_02,Diversified Butterfly Attractors of Memristive HNN With Two Memristive Systems and Application in IoMT for Privacy Protection,Hairong Lin; Xiaoheng Deng; Fei Yu; Yichuang Sun,2024,TCAD,https://doi.org/10.1109/tcad.2024.3429410,https://uhra.herts.ac.uk/id/eprint/11289/1/TCAD_IoMT.pdf,direct_pdf,Advanced Memory and Neural Computing; Neural Networks and Applications; stochastic dynamics and bifurcation,downloaded_pdf,pdfs/2024_TCAD_diversified_butterfly_attractors_of_memristive_hnn_with_two_memristive_systems_a.pdf,notes/2024_TCAD_diversified_butterfly_attractors_of_memristive_hnn_with_two_memristive_systems_a.md,05_TCAD
paper_03,"Efficient <i>N:M</i> Sparse DNN Training Using Algorithm, Architecture, and Dataflow Co-Design",Chao Fang; Wei Sun; Aojun Zhou; Zhongfeng Wang,2023,TCAD,https://doi.org/10.1109/tcad.2023.3317789,https://arxiv.org/pdf/2309.13015,direct_pdf,digital IC / architecture,downloaded_pdf,pdfs/2023_TCAD_efficient_n_m_sparse_dnn_training_using_algorithm_architecture_and_dataflow_co_d.pdf,notes/2023_TCAD_efficient_n_m_sparse_dnn_training_using_algorithm_architecture_and_dataflow_co_d.md,05_TCAD
paper_04,Spatz: Clustering Compact RISC-V-Based Vector Units to Maximize Computing Efficiency,Matteo Perotti; Samuel Riedel; Matheus Cavalcante; Luca Benini,2025,TCAD,https://doi.org/10.1109/tcad.2025.3528349,https://arxiv.org/pdf/2309.10137,direct_pdf,digital IC / architecture,downloaded_pdf,pdfs/2025_TCAD_spatz_clustering_compact_risc_v_based_vector_units_to_maximize_computing_efficie.pdf,notes/2025_TCAD_spatz_clustering_compact_risc_v_based_vector_units_to_maximize_computing_efficie.md,05_TCAD
paper_05,Energy-Efficient Spintronic-Based Neuromorphic Computing System Using Current Mode Track and Termination Circuit,Pegah Shafaghi; Mehdi Dolatshahi; Hooman Farkhani,2023,TCAD,https://doi.org/10.1109/tcad.2023.3238879,https://pure.au.dk/ws/files/418783639/final_version-r0f63te8t0691ypmps50eeb0to9hy6e3_002_.pdf,direct_pdf,Advanced Memory and Neural Computing; Ferroelectric and Negative Capacitance Devices; Neural Networks and Reservoir Computing,downloaded_pdf,pdfs/2023_TCAD_energy_efficient_spintronic_based_neuromorphic_computing_system_using_current_mo.pdf,notes/2023_TCAD_energy_efficient_spintronic_based_neuromorphic_computing_system_using_current_mo.md,05_TCAD
paper_06,Bank on Compute-Near-Memory: Design Space Exploration of Processing-Near-Bank Architectures,Rafael Medina; Giovanni Ansaloni; Marina Zapater; Alexandre Levisse; Saeideh Alinezhad Chamazcoti; Timon Evenblij,2024,TCAD,https://doi.org/10.1109/tcad.2024.3442989,https://infoscience.epfl.ch/server/api/core/bitstreams/88a6c234-d588-4567-8883-2d4aa0889c12/content,direct_pdf,"digital IC / architecture, memory / CIM",downloaded_pdf,pdfs/2024_TCAD_bank_on_compute_near_memory_design_space_exploration_of_processing_near_bank_arc.pdf,notes/2024_TCAD_bank_on_compute_near_memory_design_space_exploration_of_processing_near_bank_arc.md,05_TCAD
paper_07,CRAFT: Criticality-Aware Fault-Tolerance Enhancement Techniques for Emerging Memories-Based Deep Neural Networks,Thai-Hoang Nguyen; Muhammad Imran; Jaehyuk Choi; Joon-Sung Yang,2023,TCAD,https://doi.org/10.1109/tcad.2023.3240659,https://arxiv.org/pdf/2302.03862,direct_pdf,cryptographic hardware,downloaded_pdf,pdfs/2023_TCAD_craft_criticality_aware_fault_tolerance_enhancement_techniques_for_emerging_memo.pdf,notes/2023_TCAD_craft_criticality_aware_fault_tolerance_enhancement_techniques_for_emerging_memo.md,05_TCAD
paper_08,A Highly Reliable Dual-Mode RRAM PUF With Key Concealment Scheme,Jiang Li; Yijun Cui; Chongyan Gu; Chenghua Wang; Weiqiang Liu; Shahar Kvatinsky,2025,TCAD,https://doi.org/10.1109/tcad.2025.3536376,https://pureadmin.qub.ac.uk/ws/files/636894778/A_Highly_Reliable_Dual-Mode_RRAM_PUF_With_Key_Concealment_Scheme.pdf,direct_pdf,memory / CIM,downloaded_pdf,pdfs/2025_TCAD_a_highly_reliable_dual_mode_rram_puf_with_key_concealment_scheme.pdf,notes/2025_TCAD_a_highly_reliable_dual_mode_rram_puf_with_key_concealment_scheme.md,05_TCAD
paper_09,When Random Is Bad: Selective CRPs for Protecting PUFs Against Modeling Attacks,Mieszko Ferens; Edlira Dushku; Sokol Kosta,2024,TCAD,https://doi.org/10.1109/tcad.2024.3506217,https://vbn.aau.dk/ws/files/755415258/acceptedManuscript.pdf,direct_pdf,Physical Unclonable Functions (PUFs) and Hardware Security; Advanced Malware Detection Techniques; Adversarial Robustness in Machine Learning,downloaded_pdf,pdfs/2024_TCAD_when_random_is_bad_selective_crps_for_protecting_pufs_against_modeling_attacks.pdf,notes/2024_TCAD_when_random_is_bad_selective_crps_for_protecting_pufs_against_modeling_attacks.md,05_TCAD
paper_10,MAFIA: Protecting the Microarchitecture of Embedded Systems Against Fault Injection Attacks,Thomas Chamelot; Damien Couroussé; Karine Heydemann,2023,TCAD,https://doi.org/10.1109/tcad.2023.3276507,https://arxiv.org/pdf/2309.02255,direct_pdf,"digital IC / architecture, cryptographic hardware",downloaded_pdf,pdfs/2023_TCAD_mafia_protecting_the_microarchitecture_of_embedded_systems_against_fault_injecti.pdf,notes/2023_TCAD_mafia_protecting_the_microarchitecture_of_embedded_systems_against_fault_injecti.md,05_TCAD
