title,url,result,pdf_url
BASALISC: Programmable Hardware Accelerator for BGV Fully Homomorphic Encryption,https://tches.iacr.org/index.php/TCHES/article/download/11157/10596,direct_pdf,https://tches.iacr.org/index.php/TCHES/article/download/11157/10596
A Highly-efficient Lattice-based Post-Quantum Cryptography Processor for IoT Applications,https://tches.iacr.org/index.php/TCHES/article/download/11423/10929,direct_pdf,https://tches.iacr.org/index.php/TCHES/article/download/11423/10929
Pushing the Limits of Generic Side-Channel Attacks on LWE-based KEMs - Parallel PC Oracle Attacks on Kyber KEM and Beyond,https://tches.iacr.org/index.php/TCHES/article/download/10289/9738,direct_pdf,https://tches.iacr.org/index.php/TCHES/article/download/10289/9738
Exploiting Intermediate Value Leakage in Dilithium: A Template-Based Approach,https://tches.iacr.org/index.php/TCHES/article/download/11163/10602,direct_pdf,https://tches.iacr.org/index.php/TCHES/article/download/11163/10602
HAETAE: Shorter Lattice-Based Fiat-Shamir Signatures,https://tches.iacr.org/index.php/TCHES/article/download/11669/11189,direct_pdf,https://tches.iacr.org/index.php/TCHES/article/download/11669/11189
Protecting Dilithium against Leakage,https://tches.iacr.org/index.php/TCHES/article/download/11158/10597,direct_pdf,https://tches.iacr.org/index.php/TCHES/article/download/11158/10597
Deep Learning Side-Channel Collision Attack,https://tches.iacr.org/index.php/TCHES/article/download/10969/10276,direct_pdf,https://tches.iacr.org/index.php/TCHES/article/download/10969/10276
RDS: FPGA Routing Delay Sensors for Effective Remote Power Analysis Attacks,https://tches.iacr.org/index.php/TCHES/article/download/10293/9743,direct_pdf,https://tches.iacr.org/index.php/TCHES/article/download/10293/9743
Fiddling the Twiddle Constants - Fault Injection Analysis of the Number Theoretic Transform,https://tches.iacr.org/index.php/TCHES/article/download/10290/9739,direct_pdf,https://tches.iacr.org/index.php/TCHES/article/download/10290/9739
Conditional Variational AutoEncoder based on Stochastic Attacks,https://tches.iacr.org/index.php/TCHES/article/download/10286/9735,direct_pdf,https://tches.iacr.org/index.php/TCHES/article/download/10286/9735
