id,title,authors,year,venue,doi,source_url,source_type,digital_fpga_relevance,download_status,local_pdf,local_note,venue_folder
paper_01,BASALISC: Programmable Hardware Accelerator for BGV Fully Homomorphic Encryption,Robin Geelen; Michiel Van Beirendonck; Hilder V. L. Pereira; Brian Huffman; Tynan McAuley; Ben Selfridge,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i4.32-57,https://tches.iacr.org/index.php/TCHES/article/download/11157/10596,direct_pdf,digital IC / architecture,downloaded_pdf,pdfs/2023_TCHES_CHES_basalisc_programmable_hardware_accelerator_for_bgv_fully_homomorphic_encryption.pdf,notes/2023_TCHES_CHES_basalisc_programmable_hardware_accelerator_for_bgv_fully_homomorphic_encryption.md,06_TCHES_CHES
paper_02,A Highly-efficient Lattice-based Post-Quantum Cryptography Processor for IoT Applications,Zewen Ye; Ruibing Song; Hao Zhang; Donglong Chen; Ray Chak-Chung Cheung; Kejie Huang,2024,TCHES/CHES,https://doi.org/10.46586/tches.v2024.i2.130-153,https://tches.iacr.org/index.php/TCHES/article/download/11423/10929,direct_pdf,digital IC / architecture,downloaded_pdf,pdfs/2024_TCHES_CHES_a_highly_efficient_lattice_based_post_quantum_cryptography_processor_for_iot_app.pdf,notes/2024_TCHES_CHES_a_highly_efficient_lattice_based_post_quantum_cryptography_processor_for_iot_app.md,06_TCHES_CHES
paper_03,Pushing the Limits of Generic Side-Channel Attacks on LWE-based KEMs - Parallel PC Oracle Attacks on Kyber KEM and Beyond,Gokulnath Rajendran; Prasanna Ravi; Jan-Pieter D’Anvers; Shivam Bhasin; Anupam Chattopadhyay,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i2.418-446,https://tches.iacr.org/index.php/TCHES/article/download/10289/9738,direct_pdf,cryptographic hardware,downloaded_pdf,pdfs/2023_TCHES_CHES_pushing_the_limits_of_generic_side_channel_attacks_on_lwe_based_kems_parallel_pc.pdf,notes/2023_TCHES_CHES_pushing_the_limits_of_generic_side_channel_attacks_on_lwe_based_kems_parallel_pc.md,06_TCHES_CHES
paper_04,Exploiting Intermediate Value Leakage in Dilithium: A Template-Based Approach,Alexandre Berzati; Andersson Calle Viera; Maya Chartouny; Steven Madec; Damien Vergnaud; David Vigilant,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i4.188-210,https://tches.iacr.org/index.php/TCHES/article/download/11163/10602,direct_pdf,cryptographic hardware,downloaded_pdf,pdfs/2023_TCHES_CHES_exploiting_intermediate_value_leakage_in_dilithium_a_template_based_approach.pdf,notes/2023_TCHES_CHES_exploiting_intermediate_value_leakage_in_dilithium_a_template_based_approach.md,06_TCHES_CHES
paper_05,HAETAE: Shorter Lattice-Based Fiat-Shamir Signatures,Jung Hee Cheon; Hyeongmin Choe; Julien Devevey; Tim Güneysu; Dongyeon Hong; Markus Krausz,2024,TCHES/CHES,https://doi.org/10.46586/tches.v2024.i3.25-75,https://tches.iacr.org/index.php/TCHES/article/download/11669/11189,direct_pdf,Cryptography and Data Security; Cryptographic Implementations and Security; Security and Verification in Computing,downloaded_pdf,pdfs/2024_TCHES_CHES_haetae_shorter_lattice_based_fiat_shamir_signatures.pdf,notes/2024_TCHES_CHES_haetae_shorter_lattice_based_fiat_shamir_signatures.md,06_TCHES_CHES
paper_06,Protecting Dilithium against Leakage,Melissa Azouaoui; Olivier Bronchain; Gaëtan Cassiers; Clément Hoffmann; Yulia Kuzovkova; Joost Renes,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i4.58-79,https://tches.iacr.org/index.php/TCHES/article/download/11158/10597,direct_pdf,cryptographic hardware,downloaded_pdf,pdfs/2023_TCHES_CHES_protecting_dilithium_against_leakage.pdf,notes/2023_TCHES_CHES_protecting_dilithium_against_leakage.md,06_TCHES_CHES
paper_07,Deep Learning Side-Channel Collision Attack,Marvin Staib; Amir Moradi,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i3.422-444,https://tches.iacr.org/index.php/TCHES/article/download/10969/10276,direct_pdf,cryptographic hardware,downloaded_pdf,pdfs/2023_TCHES_CHES_deep_learning_side_channel_collision_attack.pdf,notes/2023_TCHES_CHES_deep_learning_side_channel_collision_attack.md,06_TCHES_CHES
paper_08,RDS: FPGA Routing Delay Sensors for Effective Remote Power Analysis Attacks,David Spielmann; Ognjen Glamočanin; Mirjana Stojilović,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i2.543-567,https://tches.iacr.org/index.php/TCHES/article/download/10293/9743,direct_pdf,"FPGA implementation, EDA / design automation",downloaded_pdf,pdfs/2023_TCHES_CHES_rds_fpga_routing_delay_sensors_for_effective_remote_power_analysis_attacks.pdf,notes/2023_TCHES_CHES_rds_fpga_routing_delay_sensors_for_effective_remote_power_analysis_attacks.md,06_TCHES_CHES
paper_09,Fiddling the Twiddle Constants - Fault Injection Analysis of the Number Theoretic Transform,Prasanna Ravi; Bolin Yang; Shivam Bhasin; Fan Zhang; Anupam Chattopadhyay,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i2.447-481,https://tches.iacr.org/index.php/TCHES/article/download/10290/9739,direct_pdf,cryptographic hardware,downloaded_pdf,pdfs/2023_TCHES_CHES_fiddling_the_twiddle_constants_fault_injection_analysis_of_the_number_theoretic.pdf,notes/2023_TCHES_CHES_fiddling_the_twiddle_constants_fault_injection_analysis_of_the_number_theoretic.md,06_TCHES_CHES
paper_10,Conditional Variational AutoEncoder based on Stochastic Attacks,Gabriel Zaid; Lilian Bossuet; Mathieu Carbone; Amaury Habrard; Alexandre Venelli,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i2.310-357,https://tches.iacr.org/index.php/TCHES/article/download/10286/9735,direct_pdf,Cryptographic Implementations and Security; Chaos-based Image/Signal Encryption; Physical Unclonable Functions (PUFs) and Hardware Security,downloaded_pdf,pdfs/2023_TCHES_CHES_conditional_variational_autoencoder_based_on_stochastic_attacks.pdf,notes/2023_TCHES_CHES_conditional_variational_autoencoder_based_on_stochastic_attacks.md,06_TCHES_CHES
