"Year","Citations","Title","DOI","OAStatus","OAUrl","PrimaryPDF","Landing","Authors","Topic","Volume","Issue","FirstPage","LastPage"
"2024","32","Hardware Circuits and Systems Design for Post-Quantum Cryptography—A Tutorial Brief","https://doi.org/10.1109/tcsii.2024.3357836","hybrid","https://doi.org/10.1109/tcsii.2024.3357836",,"https://doi.org/10.1109/tcsii.2024.3357836","Jiafeng Xie; Wenfeng Zhao; Hanho Lee; Debapriya Basu Roy; Xinmiao Zhang","Cryptography and Data Security","71","3","1670","1676"
"2024","22","Energy Efficient Compact Approximate Multiplier for Error-Resilient Applications","https://doi.org/10.1109/tcsii.2024.3437235","hybrid","https://doi.org/10.1109/tcsii.2024.3437235",,"https://doi.org/10.1109/tcsii.2024.3437235","Ayoub Sadeghi; Rami Rasheedi; Inna Partin-Vaisband; Debjit Pal","Low-power high-performance VLSI design","71","12","4989","4993"
"2024","16","A High-Speed and Low-Power DSP-Based TRNG for FPGA Implementations","https://doi.org/10.1109/tcsii.2024.3421323","hybrid","https://doi.org/10.1109/tcsii.2024.3421323",,"https://doi.org/10.1109/tcsii.2024.3421323","Fabio Frustaci; Fanny Spagnolo; Pasquale Corsonello; Stefania Perri","Embedded Systems Design Techniques","71","12","4964","4968"
"2024","16","Watermarking-Based Defense Mechanism in LFC of Electricity Grids Compromised by Covert Attacks","https://doi.org/10.1109/tcsii.2024.3396734","green","https://biblio.ugent.be/publication/01K0CDW9J93NYQ2CK34HNX9V9Z/file/01K1TK3180D7M60P3TTE2WRXJF.pdf",,"https://doi.org/10.1109/tcsii.2024.3396734","Soroush Oshnoei; Mohammad Reza Aghamohammadi; Jalal Heidari; Mohammad Hassan Khooban","Smart Grid Security and Resilience","71","10","4576","4580"
"2024","16","Model-Free Predictive Current Controller for Voltage Source Inverters Using ARX Model and Recursive Least Squares","https://doi.org/10.1109/tcsii.2024.3349501","green","https://figshare.com/articles/journal_contribution/Model-Free_Predictive_Current_Controller_for_Voltage_Source_Inverters_Using_ARX_Model_and_Recursive_Least_Squares/26078902",,"https://doi.org/10.1109/tcsii.2024.3349501","Mostefa Kermadi; Aissa Rebai; Lotfi Baghli; Nadhir Mesbahi; Saad Mekhilef","Multilevel Inverters and Converters","71","5","2619","2623"
"2024","10","Correlation of Multiple Strategic Sources Decreases Their Age of Information Anarchy","https://doi.org/10.1109/tcsii.2024.3360136","hybrid","https://ieeexplore.ieee.org/ielx7/8920/4358609/10416914.pdf","https://ieeexplore.ieee.org/ielx7/8920/4358609/10416914.pdf","https://doi.org/10.1109/tcsii.2024.3360136","Leonardo Badia; Laura Crosara","Age of Information Optimization","71","7","3403","3407"
"2024","8","A Double-Edge Triggered Asynchronous Gray Counter for Use as a Coarse Counter in VCO ADCs","https://doi.org/10.1109/tcsii.2024.3388104","hybrid","https://doi.org/10.1109/tcsii.2024.3388104",,"https://doi.org/10.1109/tcsii.2024.3388104","Johan Raman; Tobias Cromheecke; Simon Ooghe; Brendan Saux; Pieter Rombouts","Analog and Mixed-Signal Circuit Design","71","9","4121","4125"
"2024","7","Origin of Frequency-Dependent Distortion and Calibration for Ring Oscillator VCO ADCs","https://doi.org/10.1109/tcsii.2024.3370121","hybrid","https://ieeexplore.ieee.org/ielx7/8920/4358609/10445510.pdf","https://ieeexplore.ieee.org/ielx7/8920/4358609/10445510.pdf","https://doi.org/10.1109/tcsii.2024.3370121","Brendan Saux; Jonas Borgmans; Johan Raman; Pieter Rombouts","Analog and Mixed-Signal Circuit Design","71","8","3670","3674"
"2024","7","Resilient Consensus Through Dynamic Event-Triggered Mechanism","https://doi.org/10.1109/tcsii.2024.3364524","green","https://pure.tue.nl/ws/files/354208869/Resilient_Consensus_Through_Dynamic_Event-Triggered_Mechanism.pdf",,"https://doi.org/10.1109/tcsii.2024.3364524","Zirui Liao; Jian Shi; Shaoping Wang; Yuwei Zhang; Zhiyong Sun","Distributed Control Multi-Agent Systems","71","7","3463","3467"
"2024","6","Fuzzy Observer-Based Command Filtered Adaptive Control of Flexible Joint Robots With Time-Varying Output Constraints","https://doi.org/10.1109/tcsii.2024.3378280","green","https://kclpure.kcl.ac.uk/ws/files/250570908/Fuzzy_Observer-based_Command_Filtered_Adaptive_Control_of_Flexible_Joint_Robots_with_Time-varying_Output_Constraints_Accepted_Author_Manuscript_.pdf",,"https://doi.org/10.1109/tcsii.2024.3378280","Junhao Su; Hak‐Keung Lam; Jiapeng Liu; Jinpeng Yu","Adaptive Control of Nonlinear Systems","71","9","4251","4255"
"2024","6","An Analysis of an ASK Demodulator With Dual Self-Biased Separated Voltages for Implantable Applications","https://doi.org/10.1109/tcsii.2024.3357212","green","https://infoscience.epfl.ch/handle/20.500.14299/242865",,"https://doi.org/10.1109/tcsii.2024.3357212","Mohammad Javad Karimi; Yuxuan Zhou; Catherine Dehollain; Alexandre Schmid","Wireless Power Transfer Systems","71","6","2986","2990"
"2024","5","Efficient Low-Latency Multiplication Architecture for NIST Trinomials With RISC-V Integration","https://doi.org/10.1109/tcsii.2024.3369103","hybrid","https://ieeexplore.ieee.org/ielx7/8920/4358609/10444058.pdf","https://ieeexplore.ieee.org/ielx7/8920/4358609/10444058.pdf","https://doi.org/10.1109/tcsii.2024.3369103","José Luis Imaña; Luís Piñuel; Yao-Ming Kuo; O. Ruano; Francisco García-Herrero","Cryptography and Residue Arithmetic","71","8","3915","3919"
"2024","5","An Energy Efficient and Temperature Stable Digital FLL-Based Wakeup Timer With Time-Domain Temperature Compensation","https://doi.org/10.1109/tcsii.2024.3365211","green","https://pmc.ncbi.nlm.nih.gov/articles/PMC7616128/pdf/EMS194301.pdf",,"https://doi.org/10.1109/tcsii.2024.3365211","Minyoung Song; Ming Ding; Yao‐Hong Liu","Advancements in PLL and VCO Technologies","71","7","3298","3302"
"2024","5","Quantum Computing Gate Emulation Using CMOS Oscillatory Cellular Neural Networks","https://doi.org/10.1109/tcsii.2024.3397846","bronze","https://ieeexplore.ieee.org/ielx7/8920/4358609/10522474.pdf","https://ieeexplore.ieee.org/ielx7/8920/4358609/10522474.pdf","https://doi.org/10.1109/tcsii.2024.3397846","Richelle L. Smith; Thomas H. Lee","Quantum-Dot Cellular Automata","71","10","4541","4545"
"2024","5","A Fully Digital Relaxation-Aware Analog Programming Technique for HfOx RRAM Arrays","https://doi.org/10.1109/tcsii.2024.3371771","green","http://hdl.handle.net/10261/378342",,"https://doi.org/10.1109/tcsii.2024.3371771","Hamidreza Erfanijazi; Luis A. Camuñas-Mesa; Elisa Vianello; Teresa Serrano‐Gotarredona; B. Linares-Barranco","Advanced Memory and Neural Computing","71","8","3685","3689"
"2024","4","Self-Adaptive Intermediate Resonator in a 3-Coil Inductive Link for Power and Data Transmission","https://doi.org/10.1109/tcsii.2024.3360369","green","https://www.colibri.udelar.edu.uy/jspui/bitstream/20.500.12008/47591/1/SSHP24.pdf",,"https://doi.org/10.1109/tcsii.2024.3360369","Andrés Seré; Leonardo Steinfeld; Simon Hemour; Pablo Pérez-Nicoli","Microwave Engineering and Waveguides","71","11","4728","4732"
"2024","4","A 46 Gbps 12 pJ/b Sparsity-Adaptive Beamspace Equalizer for mmWave Massive MIMO in 22FDX","https://doi.org/10.1109/tcsii.2024.3426551","green","http://hdl.handle.net/20.500.11850/699717",,"https://doi.org/10.1109/tcsii.2024.3426551","Seyed Hadi Mirfarshbafan; Christoph Studer","Millimeter-Wave Propagation and Modeling","71","12","4969","4973"
