"id","title","authors","year","volume","issue","pages","doi","domain","source_url","source_type","download_status","local_pdf"
"paper_01","Watermarking-Based Defense Mechanism in LFC of Electricity Grids Compromised by Covert Attacks","Soroush Oshnoei; Mohammad Reza Aghamohammadi; Jalal Heidari; Mohammad Hassan Khooban","2024","71","10","4576-4580","https://doi.org/10.1109/tcsii.2024.3396734","Smart grid security / load-frequency control","https://biblio.ugent.be/publication/01K0CDW9J93NYQ2CK34HNX9V9Z/file/01K1TK3180D7M60P3TTE2WRXJF.pdf","institutional repository PDF","downloaded_pdf","pdfs/paper_01.pdf"
"paper_02","Resilient Consensus Through Dynamic Event-Triggered Mechanism","Zirui Liao; Jian Shi; Shaoping Wang; Yuwei Zhang; Zhiyong Sun","2024","71","7","3463-3467","https://doi.org/10.1109/tcsii.2024.3364524","Distributed control / resilient consensus","https://pure.tue.nl/ws/files/354208869/Resilient_Consensus_Through_Dynamic_Event-Triggered_Mechanism.pdf","institutional repository PDF","downloaded_pdf","pdfs/paper_02.pdf"
"paper_03","Fuzzy Observer-Based Command Filtered Adaptive Control of Flexible Joint Robots With Time-Varying Output Constraints","Junhao Su; Hak-Keung Lam; Jiapeng Liu; Jinpeng Yu","2024","71","9","4251-4255","https://doi.org/10.1109/tcsii.2024.3378280","Adaptive fuzzy control / robotics","https://kclpure.kcl.ac.uk/ws/files/250570908/Fuzzy_Observer-based_Command_Filtered_Adaptive_Control_of_Flexible_Joint_Robots_with_Time-varying_Output_Constraints_Accepted_Author_Manuscript_.pdf","institutional repository accepted manuscript PDF","downloaded_pdf","pdfs/paper_03.pdf"
"paper_04","Self-Adaptive Intermediate Resonator in a 3-Coil Inductive Link for Power and Data Transmission","Andres Sere; Leonardo Steinfeld; Simon Hemour; Pablo Perez-Nicoli","2024","71","11","4728-4732","https://doi.org/10.1109/tcsii.2024.3360369","Wireless power and data transmission","https://www.colibri.udelar.edu.uy/jspui/bitstream/20.500.12008/47591/1/SSHP24.pdf","institutional repository PDF","downloaded_pdf","pdfs/paper_04.pdf"
"paper_05","A Cryo-CMOS Triple Tail Comparator With Capacitive Over-Neutralization to Suppress Freeze-Out Induced Hysteresis","Bram Veraverbeke; Filip Tavernier","2025","72","10","1358-1362","https://doi.org/10.1109/tcsii.2025.3596708","Cryo-CMOS / comparator","https://lirias.kuleuven.be/retrieve/89eac621-f966-45ab-98aa-9fdbb3964adb","institutional repository PDF","downloaded_pdf","pdfs/paper_05.pdf"
"paper_06","A Multi-GHz Inverter-Based ASDM With Distortion Cancellation","Caro Meysmans; Achim Vandierendonck; Pieter Rombouts; Guy Torfs","2024","71","10","4442-4446","https://doi.org/10.1109/tcsii.2024.3401466","ADC / asynchronous sigma-delta modulation","https://biblio.ugent.be/publication/01JAQ892WPCX62DJPHYTPX8D1Z/file/01JAQ89Z33N7C3ES42146R9AW1.pdf","institutional repository PDF","downloaded_pdf","pdfs/paper_06.pdf"
"paper_07","LLC Resonant Converter With Reconfigurable Secondary-Side for Output Voltage Regulation","Samuel S. Queiroz; Levy F. Costa","2025","72","12","2047-2051","https://doi.org/10.1109/tcsii.2025.3625415","Power converter / LLC resonant converter","https://pure.tue.nl/ws/files/380687834/LLC_Resonant_Converter_With_Reconfigurable_Secondary-Side_for_Output_Voltage_Regulation.pdf","institutional repository PDF","downloaded_pdf","pdfs/paper_07.pdf"
"paper_08","Physics-Informed Surrogate Neural Network for Optimizing Diode-Based Interfaces in Leadless Pacemaker Energy Harvesting","Qirui Hua; Majid Khazaee; Ali Asghar Enkeshafi; Ming Shen; Sam Riahi","2025","73","2","223-227","https://doi.org/10.1109/tcsii.2025.3641701","Energy harvesting / physics-informed neural network","https://vbn.aau.dk/ws/files/814297170/Accepted_Author_Manuscript.pdf","institutional repository accepted manuscript PDF","downloaded_pdf","pdfs/paper_08.pdf"
"paper_09","TNNGen: Automated Design of Neuromorphic Sensory Processing Units for Time-Series Clustering","Prabhu Vellaisamy; Harideep Nair; Vamsikrishna Ratnakaram; Dhruv Gupta; John Paul Shen","2024","71","5","2519-2523","https://doi.org/10.1109/tcsii.2024.3390002","Neuromorphic sensory processing / automation","https://arxiv.org/pdf/2412.17977","arXiv PDF","downloaded_pdf","pdfs/paper_09.pdf"
"paper_10","A Lightweight and Hardware-Efficient NTT FPGA Accelerator for FHE Applications","Moonis Amir Zaman; Muhammad Bilal Khan; Waqar Ahmad; Ayesha Khalid; Maire O'Neill","2025","73","1","78-82","https://doi.org/10.1109/tcsii.2025.3633181","Cryptographic accelerator / FHE NTT","https://pureadmin.qub.ac.uk/ws/files/660584923/Compact_FHE_TCAS_II_CameraReady.pdf","institutional repository PDF","downloaded_pdf","pdfs/paper_10.pdf"
