"Year","Citations","Title","DOI","OAStatus","OAUrl","PrimaryPDF","Landing","Authors","Topic","Volume","Issue","FirstPage","LastPage"
"2024","82","Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption","https://doi.org/10.1109/tcsi.2024.3439869","green","https://uhra.herts.ac.uk/id/eprint/11323/1/TCAS_I_Tabu_Wing.pdf",,"https://doi.org/10.1109/tcsi.2024.3439869","Quanli Deng; Chunhua Wang; Yichuang Sun; Zekun Deng; Gang Yang","Advanced Memory and Neural Computing","72","1","300","311"
"2024","33","ACE-CNN: Approximate Carry Disregard Multipliers for Energy-Efficient CNN-Based Image Classification","https://doi.org/10.1109/tcsi.2024.3369230","hybrid","https://doi.org/10.1109/tcsi.2024.3369230",,"https://doi.org/10.1109/tcsi.2024.3369230","Salar Shakibhamedan; Nima Amirafshar; Ahmad Sedigh Baroughi; Hadi Shahriar Shahhoseini; Nima TaheriNejad","Advanced Neural Network Applications","71","5","2280","2293"
"2024","26","A Generalized Adjusted Min-Sum Decoder for 5G LDPC Codes: Algorithm and Implementation","https://doi.org/10.1109/tcsi.2024.3368056","green","https://pure.tue.nl/ws/files/331786672/A_Generalized_Adjusted_Min-Sum_Decoder_for_5G_LDPC_Codes_Algorithm_and_Implementation.pdf",,"https://doi.org/10.1109/tcsi.2024.3368056","Yuqing Ren; Hassan Harb; Yifei Shen; Alexios Balatsoukas‐Stimming; Andreas Burg","Error Correcting Code Techniques","71","6","2911","2924"
"2024","19","Accelerated Image Processing Through IMPLY-Based NoCarry Approximated Adders","https://doi.org/10.1109/tcsi.2024.3426926","hybrid","https://doi.org/10.1109/tcsi.2024.3426926",,"https://doi.org/10.1109/tcsi.2024.3426926","Fabian Seiler; Nima TaheriNejad","Advanced Memory and Neural Computing","71","11","5141","5154"
"2024","14","SYNtzulu: A Tiny RISC-V-Controlled SNN Processor for Real-Time Sensor Data Analysis on Low-Power FPGAs","https://doi.org/10.1109/tcsi.2024.3450966","hybrid","https://doi.org/10.1109/tcsi.2024.3450966",,"https://doi.org/10.1109/tcsi.2024.3450966","Gianluca Leone; Matteo Antonio Scrugli; Lorenzo Badas; Luca Martis; Luigi Raffo","CCD and CMOS Imaging Sensors","72","2","790","801"
"2024","14","Frequency-Transformation-Based Co-Designed Lowpass-Single/Multi-Passband-Highpass RF Filters","https://doi.org/10.1109/tcsi.2024.3382094","green","https://ebuah.uah.es/dspace/bitstream/10017/65202/3/Frequency_Gomez_IEEETransCircSysI_2024.pdf",,"https://doi.org/10.1109/tcsi.2024.3382094","Roberto Gómez‐García; Li Yang; Mohamed Malki; José‐María Muñoz‐Ferreras","Microwave Engineering and Waveguides","71","8","3608","3621"
"2024","13","A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization","https://doi.org/10.1109/tcsi.2024.3466972","green","https://pureadmin.qub.ac.uk/ws/files/626184314/DDQPUF.pdf",,"https://doi.org/10.1109/tcsi.2024.3466972","Yao Wang; Guangyang Zhang; Xue Mei; Chongyan Gu","Integrated Circuits and Semiconductor Failure Analysis","72","2","573","585"
"2024","13","A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation","https://doi.org/10.1109/tcsi.2024.3359044","green","https://cris.unibo.it/bitstream/11585/959822/3/SHAHEEN_TCAS_I_2023.pdf",,"https://doi.org/10.1109/tcsi.2024.3359044","Luca Valente; Alessandro Nadalini; Asif Veeran; M. Sinigaglia; Bruno Sá","CCD and CMOS Imaging Sensors","71","5","2266","2279"
"2025","13","Impacts of Physical-Layer Information on Epidemic Spreading in Cyber-Physical Networked Systems","https://doi.org/10.1109/tcsi.2025.3550386","green","https://arxiv.org/pdf/2503.06591",,"https://doi.org/10.1109/tcsi.2025.3550386","Xianglai Yuan; Yichao Yao; Han Wu; Minyu Feng","Complex Network Analysis Techniques","72","10","5957","5969"
"2024","12","Fault-Tolerant Consensus of Multi-Agent Systems Subject to Multiple Faults and Random Attacks","https://doi.org/10.1109/tcsi.2024.3351214","green","https://hull-repository.worktribe.com/preview/4572647/RJP_Paper_10.pdf",,"https://doi.org/10.1109/tcsi.2024.3351214","Chun Liu; Wanyi Wang; Bin Jiang; Ron J. Patton","Distributed systems and fault tolerance","72","9","4935","4945"
"2024","12","A Novel Online Adaptive Dynamic Programming Algorithm With Adjustable Convergence Rate","https://doi.org/10.1109/tcsi.2023.3346029","hybrid","https://doi.org/10.1109/tcsi.2023.3346029",,"https://doi.org/10.1109/tcsi.2023.3346029","Yonghua Wang; Zheliang Zhang; Yongwei Zhang; Mingming Liang; Derong Liu","Adaptive Dynamic Programming Control","71","3","1371","1384"
